               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.020672,           0.0053223,                   0,             0.97701,             0.99248,             0.99192,             0.75996,            0.017668,           0.0031939,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.020627,           0.0051843,                   0,             0.97827,             0.99151,             0.99098,             0.76198,            0.017621,            0.003182,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.021076,           0.0053948,                   0,             0.98264,             0.98726,             0.99149,             0.74951,              0.0181,           0.0031911,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.021575,           0.0053046,                   0,             0.97687,             0.99363,             0.99313,             0.77414,            0.017374,           0.0031879,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.021263,           0.0053304,                   0,               0.975,             0.99366,             0.99271,             0.76773,            0.017579,            0.003231,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.020753,           0.0054377,                   0,               0.979,             0.98726,             0.99284,             0.75921,            0.017662,            0.003222,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.020042,           0.0053931,                   0,             0.98224,             0.98726,             0.99323,             0.74869,            0.018182,           0.0032396,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.021197,           0.0052207,                   0,             0.98315,             0.99085,             0.99429,             0.75104,             0.01857,            0.003236,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.020607,           0.0052458,                   0,              0.9725,             0.99151,             0.99336,             0.76342,            0.017426,           0.0032009,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.019735,           0.0048258,                   0,             0.97288,             0.99027,             0.99311,             0.77386,            0.017174,           0.0031551,                   0,           0.0069904,           0.0069904,           0.0069904
                 154,            0.020697,           0.0052167,                   0,             0.97606,             0.98938,             0.99299,             0.74519,            0.017778,           0.0031662,                   0,           0.0069706,           0.0069706,           0.0069706
                 155,            0.021677,           0.0050528,                   0,             0.97875,             0.99151,             0.99282,             0.75102,             0.01754,           0.0031631,                   0,           0.0069508,           0.0069508,           0.0069508
